proper,ra,dec,dist,mag,absmag,ci,temp,x,y,z,con,lum,var,var_min,var_max
,10.742414,-61.193586,4.4883,13.92,15.66,1.82,3368.086761,-2.046475,0.699423,-3.932885,,4.74E-05,,,
,10.803471,-11.336727,4.5249,15.6,17.322,2.1,3069.027661,-4.220385,1.367034,-0.889411,,1.03E-05,,,
,17.607283,68.339141,4.5282,9.15,10.87,1.505,3786.001397,-0.171572,-1.662506,4.208248,Dra,0.003908409,,,
,17.47772,-46.89519,4.5405,9.38,11.094,1.553,3715.491566,-0.422874,-3.073668,-3.314975,Ara,0.003179801,,,
,11.761338,-64.841517,4.6081,11.5,13.182,0.196,8194.093023,-1.955207,0.122023,-4.170954,Mus,0.000464729,,11.575,11.405
,13.057957,25.797084,4.6164,8.75,10.428,0.455,6600.284253,-3.997663,-1.136452,2.008857,Com,0.005872189,,,
,14.825516,-26.111672,4.6583,12.07,13.729,1.524,3757.761272,-3.089858,-2.819683,-2.050308,,0.000280802,,,
,22.887977,-14.263701,4.6887,10.16,11.805,1.597,3653.20966,4.352933,-1.304309,-1.155222,Aqr,0.001651962,IL,10.202,10.102
,0.112155,-7.539302,4.6992,13.75,15.39,1.98,3190.234928,4.65444,0.136696,-0.616283,,6.08E-05,,,
,19.898222,44.414534,4.717,13.41,15.042,1.9,3276.674296,1.606452,-2.961705,3.301167,,8.38E-05,,,
,19.8985,44.414552,4.717,14.01,15.642,1.98,3190.234928,1.606668,-2.961587,3.301168,,4.82E-05,,,
,23.11082,-14.872194,4.804,12.24,13.832,,,4.517834,-1.071109,-1.233013,,0.000255388,,12.955,10.405
,11.093507,43.521487,4.8323,14.4,15.979,2.09,3078.765532,-3.405436,0.825166,3.32765,,3.54E-05,,,
,11.091542,43.526777,4.848,8.82,10.392,1.491,3807.093912,-3.416483,0.828486,3.33921,UMa,0.006070158,WX,8.858,8.788
,10.189602,49.454237,4.8731,6.6,8.161,1.326,4075.494327,-2.818415,1.445842,3.702832,UMa,0.047380539,,,
,10.326843,19.870262,4.9044,9.4,10.947,1.54,3734.317309,-4.17747,1.956673,1.667178,Leo,0.003640827,,,
,21.559441,-49.009006,4.9537,8.66,10.185,1.521,3762.191106,2.608354,-1.937731,-3.739143,Gru,0.007345139,,,
,4.254537,-7.652871,4.9845,4.43,5.942,0.82,5221.100154,2.179524,4.432894,-0.66374,Eri,0.365763193,,,
,0.257803,-16.133807,4.9868,11.49,13.001,1.75,3452.508366,4.779241,0.32306,-1.385667,Cet,0.000549035,,11.558,11.378
,4.256188,-7.657504,5.0444,9.52,11.006,0.03,9765.803485,2.203473,4.486451,-0.67203,Eri,0.00344826,,,
,4.256188,-7.657504,5.0444,11.17,12.656,1.67,3554.517282,2.202917,4.485319,-0.671861,Eri,0.000754397,,,
,17.617729,-44.319215,5.0787,10.94,12.411,1.655,3574.343152,-0.363042,-3.615031,-3.547885,Sco,0.000945366,,11.004,10.884
,18.090913,2.500099,5.0834,4.03,5.499,0.86,5106.136867,0.120862,-5.077062,0.221741,Oph,0.550047253,V2391,4.05,4.02
,18.09099,2.498264,5.086,6,7.468,1.15,4409.234032,0.121015,-5.079214,0.221672,Oph,0.089701561,,,
,22.780527,44.333991,5.1224,10.29,11.743,1.54,3734.317309,3.478781,-1.15001,3.579733,Lac,0.001749041,EV,10.386,10.206
Altair,19.846388,8.868322,5.1295,0.76,2.21,0.221,8003.964554,2.355468,-4.4873,0.790749,Aql,11.37627286,Alp,0.803,0.753
,8.970901,19.763287,5.2274,14.06,15.469,1.84,3344.743474,-3.450811,3.503886,1.766979,,5.65E-05,,,
,8.970901,19.764954,5.2274,14.92,16.329,1.93,3243.699497,-3.451925,3.505014,1.76771,,2.56E-05,,,
,13.85077,23.776677,5.3259,13.31,14.678,,,-4.312826,-2.270248,2.147258,,0.000117166,,,
,11.719981,-39.432645,5.3419,9.64,11.002,,,-4.114851,0.302206,-3.393018,Cen,0.003460987,,9.808,8.448
,11.794333,78.69116,5.3516,10.8,12.158,1.572,3688.32872,-1.047725,0.056332,5.246711,Cam,0.001193438,,10.866,10.736
,6.000991,2.707087,5.3677,11.33,12.681,1.68,3541.426071,-0.001391,5.361709,0.253516,Ori,0.000737225,,,
,13.76215,14.89152,5.3911,8.46,9.802,1.435,3893.967541,-4.665503,-2.319265,1.385494,Boo,0.010452014,,,
,4.518593,58.981451,5.5139,12.44,13.733,0.31,7398.896776,1.073743,2.630708,4.725416,,0.000279769,,,
,12.080228,-62.002292,5.5169,7.57,8.862,0.626,5867.571805,-2.589262,-0.054392,-4.871237,Cru,0.024842769,BY,7.833,7.043
,4.519668,58.977072,5.5782,10.82,12.088,1.17,4368.4464,1.086377,2.661819,4.780431,Cam,0.001272917,,10.877,10.767
,6.913622,33.268175,5.5863,9.89,11.154,1.58,3677.014629,-1.10658,4.538001,3.064541,Gem,0.003008846,,,
,17.089101,-33.767358,5.6155,9.25,10.503,0.607,5940.269764,-1.102705,-4.536064,-3.121219,Sco,0.005480245,,,
,5.524277,-3.677229,5.6571,7.97,9.207,1.474,3833.037177,0.701301,5.601801,-0.362827,Ori,0.018080066,,,
,19.346452,-45.55959,5.6915,12.23,13.454,1.68,3541.426071,1.376254,-3.74042,-4.064196,,0.000361743,,,
,20.87584,-16.974738,5.7133,11.41,12.626,1.653,3577.003926,3.736291,-3.987443,-1.667998,Cap,0.000775532,,11.471,11.341
,16.926474,-8.395842,5.7395,16.78,17.986,1.99,3179.759033,-1.575156,-5.456183,-0.83818,,5.57E-06,,,
,16.924521,-8.3376,5.7395,9.9,11.106,,,-1.5779,-5.45522,-0.83226,Oph,0.00314485,,,
,6.176284,-21.864643,5.7534,8.15,9.35,1.487,3813.165305,-0.246337,5.333894,-2.142671,Lep,0.015848932,,,
,19.539149,69.661175,5.7547,4.67,5.87,0.786,5323.240466,0.784452,-1.840016,5.396152,Dra,0.390840896,,,
,6.913606,33.270718,5.7604,10.01,11.208,1.57,3691.168543,-1.141059,4.680085,3.160773,Gem,0.002862859,,,
,9.239826,52.686625,5.8113,7.64,8.819,1.41,3934.098141,-2.642238,2.329858,4.62201,UMa,0.025846396,,7.921,7.291
,5.702566,12.489337,5.8292,11.56,12.732,1.675,3547.959172,0.44278,5.674935,1.260815,Ori,0.000703396,V1352,11.635,11.475
,17.776329,-57.319042,5.8316,10.75,11.921,1.66,3567.709122,-0.184376,-3.142875,-4.907535,Pav,0.001484568,,10.803,10.673
,14.957765,-21.415475,5.8404,5.72,6.888,1.024,4685.844064,-3.887091,-3.802093,-2.13259,Lib,0.153038253,KX,5.733,5.683
,19.282016,5.168904,5.8699,9.12,10.277,1.464,3848.47047,1.925584,-5.520142,0.528861,Aql,0.006748387,V1428,9.154,9.084
,19.28281,5.148625,5.8734,17.52,18.676,2.2,2975.019134,1.927832,-5.522905,0.527077,,2.95E-06,,,
,8.211308,-21.551445,5.8824,12.1,13.252,1.6,3649.041928,-2.993375,4.579649,-2.16082,,0.000435712,,,
,14.957361,-21.41152,5.9252,8.01,9.146,1.519,3765.150362,-3.944034,-3.856974,-2.163168,Lib,0.019124936,,,
,15.536988,-41.275586,5.9291,9.31,10.445,1.524,3757.761272,-2.678394,-3.561312,-3.911408,Lup,0.00578096,,,
,17.255836,-26.602829,5.9333,4.33,5.464,0.855,5120.212718,-1.027046,-5.204798,-2.656955,Oph,0.568067574,,,
,0.817022,57.817365,5.9527,7.51,8.636,1.39,3966.828689,3.098396,0.673787,5.03855,Cas,0.030591446,,,
,0.81826,57.815187,5.9531,3.46,4.586,0.587,6018.915262,3.098462,0.674227,5.038376,Cas,1.275263706,Eta,3.507,3.457
,7.744493,3.552454,5.9566,11.19,12.315,1.6,3649.041928,-2.621889,5.336048,0.369099,CMi,0.001032761,YZ,11.284,11.084
,17.270388,-26.546147,5.9705,6.33,7.45,1.144,4421.626718,-1.014027,-5.243915,-2.668326,Oph,0.091201084,V2215,6.35,6.32
,23.820146,2.401223,5.9776,8.98,10.097,1.46,3854.680056,5.965095,-0.281077,0.250417,Psc,0.007965261,BR,9.01,8.96
,17.202169,45.665974,5.9776,9.31,10.427,1.485,3816.208559,-0.866144,-4.086415,4.275453,Her,0.0058776,,,
,17.255734,-26.603215,5.9852,5.07,6.185,0.85,5134.371181,-1.036233,-5.250282,-2.680239,Oph,0.292415238,,,
,20.186632,-36.101212,6.015,5.32,6.424,0.868,5083.785468,2.632166,-4.084363,-3.543434,Sgr,0.234638892,,,
82 G. Eri,3.331944,-43.069784,6.0434,4.26,5.354,0.711,5564.356012,2.839238,3.381499,-4.127499,Eri,0.628637088,,,
,20.186579,-36.102643,6.0518,11.5,12.591,,,2.648766,-4.11005,-3.565924,Sgr,0.00080094,,,
,14.571338,-12.519555,6.061,11.32,12.407,1.633,3603.839181,-4.626156,-3.689053,-1.313877,Lib,0.000948855,HN,11.397,11.177
,20.145157,-66.182068,6.1084,3.55,4.62,0.751,5432.93165,1.313772,-2.087713,-5.587991,Pav,1.235947433,,,
,5.032478,-6.945051,6.135,12.1,13.161,,,1.526136,5.895661,-0.741827,,0.000473805,,,
,17.804188,70.874972,6.1425,14.15,15.208,0.4,6880.241819,-0.104366,-2.009764,5.80347,,7.19E-05,,,
,7.606961,7.080332,6.1728,13.22,14.268,,,-2.501754,5.59158,0.760864,,0.000170923,,,
,23.531155,19.937259,6.182,10.05,11.094,1.19,4328.442415,5.76778,-0.711525,2.108009,Peg,0.003179801,EQ,10.105,9.995
,16.924656,-8.336344,6.1954,9.02,10.06,1.553,3715.491566,-1.703055,-5.888724,-0.898248,Oph,0.008241381,V1054,9.057,8.977
,20.231446,-45.164019,6.1981,7.97,9.009,1.431,3900.331058,2.410191,-3.645204,-4.395049,Tel,0.021697016,,,
,14.944004,-28.165379,6.2112,17.05,18.084,1.34,4051.195837,-3.928325,-3.814685,-2.931799,,5.09E-06,,,
,9.714859,-68.885517,6.2112,12.78,13.814,1.73,3477.438782,-1.848526,1.259969,-5.793194,,0.000259657,,,
,15.32412,-7.72228,6.2147,10.57,11.603,1.6,3649.041928,-3.96982,-4.707934,-0.835068,Lib,0.001989757,HO,10.595,10.485
,23.531203,19.937322,6.2477,12.4,13.421,1.65,3581.00279,5.829022,-0.718963,2.130394,,0.000372907,,,
,7.167196,38.52946,6.2945,11.65,12.655,1.7,3515.540832,-1.481414,4.696265,3.921162,Aur,0.000755092,QY,11.712,11.562
,17.202071,45.665514,6.3223,10.4,11.396,,,-0.916168,-4.322284,4.522166,Her,0.002407687,,,
,9.240357,52.686376,6.3918,7.7,8.672,1.42,3917.94294,-2.906545,2.562201,5.083691,UMa,0.02959375,,,
,13.117292,20.815405,6.4103,12.58,13.546,1.62,3621.507053,-5.737071,-1.727679,2.277826,,0.000332353,,,
,5.919344,-4.169761,6.4599,14.45,15.399,1.05,4625.809668,0.136031,6.441366,-0.469711,,6.03E-05,,,
,16.423456,54.304103,6.5164,10.13,11.06,1.591,3661.574821,-1.525067,-3.482882,5.292042,Dra,0.003280953,,,
,12.316778,11.125205,6.5402,13.81,14.732,1.88,3299.044335,-6.395244,-0.531553,1.261955,,0.000111481,,,
,23.221098,57.168355,6.5462,5.57,6.49,1,4742.738178,3.475601,-0.718451,5.500421,Cas,0.220800473,,,
,11.001188,22.832962,6.6622,10.03,10.912,1.525,3756.287069,-5.931445,1.587358,2.58525,Leo,0.003760105,,,
,14.856488,19.099249,6.6997,6.97,7.84,1.16,4388.740774,-4.64172,-4.305423,2.192231,Boo,0.063679552,,,
,21.493551,17.64329,6.7047,10.33,11.198,1.62,3621.507053,5.062257,-3.897986,2.03206,Peg,0.002889349,,10.413,10.283
,14.856493,19.10046,6.7123,4.54,5.406,0.72,5534.196696,-4.650321,-4.313397,2.196442,Boo,0.599238903,Xi,4.57,4.52
,16.923675,-8.322576,6.715,11.73,12.595,1.7,3515.540832,-1.847524,-6.382123,-0.971952,Oph,0.000797995,,11.852,11.622
,8.199296,8.775732,6.7568,12.83,13.681,1.77,3427.944733,-3.634963,5.599567,1.030592,,0.000293495,,,
,10.847797,6.808149,6.7604,11.64,12.49,1.679,3542.730698,-6.409634,1.9943,0.801412,Leo,0.000879023,,11.742,11.482
,22.632675,-65.822318,6.8027,11.45,12.287,,,2.609768,-0.975622,-6.205965,Tuc,0.001059742,,,
,17.493402,24.654069,6.8101,11.39,12.224,1.101,4512.629406,-0.818464,-6.134956,2.840756,Her,0.001123052,,,
,17.315842,-34.989792,6.8357,5.91,6.736,1.082,4554.107356,-0.997648,-5.510603,-3.919803,Sco,0.176035395,,,
,22.943009,16.553433,6.8451,8.68,9.503,1.507,3783.007994,6.31155,-1.792532,1.950162,Peg,0.013765754,,,
,7.885359,-67.791861,6.9109,14.08,14.882,0.66,5742.128942,-1.238902,2.29964,-6.398229,,9.71E-05,,,
,17.31593,-34.997665,6.9711,10.24,11.023,1.57,3691.168543,-1.016894,-5.61931,-3.998244,Sco,0.003394689,,,
,17.315629,-34.992895,6.9711,7.2,7.983,,,-1.017406,-5.619572,-3.99778,Sco,0.055821307,,,
,20.88883,62.15439,7.0487,8.55,9.309,1.483,3819.256869,2.259284,-2.394775,6.232392,Cep,0.016458869,,,
,10.482098,0.841,7.0671,9.65,10.404,1.507,3783.007994,-6.515769,2.734767,0.10373,Sex,0.006003438,,,
268 G. Cet,2.601357,6.88687,7.1803,5.79,6.509,0.918,4948.653237,5.538462,4.488223,0.861013,Cet,0.216970155,,,
,12.647117,-38.374865,7.1942,12.74,13.455,1.69,3528.434308,-5.559306,-0.950686,-4.466188,,0.00036141,,,
,2.60431,6.87166,7.2088,11.66,12.371,1.6,3649.041928,5.55796,4.511171,0.862659,Cet,0.000980844,,,
,23.586282,-2.390374,7.215,14.69,15.399,1.96,3211.401455,7.16648,-0.779258,-0.300922,,6.03E-05,,,
,18.315393,66.192187,7.2833,13.48,14.168,1.83,3356.373216,0.242972,-2.929993,6.663525,,0.000187413,,,
,18.685827,24.784458,7.3529,12.4,13.068,1.71,3502.744499,1.192254,-6.568303,3.082378,,0.000516179,,,
,18.685826,24.786125,7.3529,14,14.668,,,1.192237,-6.568216,3.082572,,0.00011825,,,
,17.158741,43.681351,7.4455,11.77,12.411,1.696,3520.686501,-1.176301,-5.254468,5.142212,Her,0.000945366,,11.863,11.693
96 G. Psc,0.806382,5.280615,7.4549,5.74,6.378,0.89,5023.375178,7.258368,1.555495,0.686093,Psc,0.244793567,,,
,22.385183,-17.607447,7.4571,13.25,13.887,1.84,3344.743474,6.481995,-2.916125,-2.255726,,0.000242773,,,
,0.427916,-77.254247,7.4588,2.82,3.457,0.618,5897.947545,1.635267,0.184517,-7.275205,Hyi,3.607447339,,,
,2.737626,25.523357,7.5098,10.55,11.172,1.53,3748.934037,5.109768,4.451981,3.235931,Ari,0.002959375,VX,10.612,10.502
,12.899631,-18.034764,7.5284,8.51,9.126,0.497,6402.526225,-6.960892,-1.67045,-2.330747,Crv,0.019480496,,,
,0.411699,-27.147825,7.5301,15.42,16.036,,,6.651693,0.719714,-3.430758,,3.35E-05,,,
,1.70827,20.268504,7.5324,5.24,5.855,0.836,5174.460898,6.370804,3.055661,2.60927,Psc,0.396278034,,,
,18.125803,-15.965789,7.5358,13.63,14.244,1.79,3403.739628,0.238537,-7.241188,-2.072822,,0.000174743,,,
,1.135395,54.920396,7.5529,11,11.609,,,4.149624,1.273905,6.180949,Cas,0.001978791,,,
,1.137477,54.92034,7.554,5.17,5.779,0.704,5588.057183,4.149699,1.274102,6.181126,Cas,0.425010833,,,
,6.019463,59.600972,7.5643,11.71,12.316,1.6,3649.041928,-0.019372,3.827631,6.524377,Cam,0.001031811,,,
,22.940005,-31.565567,7.6092,6.48,7.073,1.094,4527.818004,6.235383,-1.77617,-3.98326,PsA,0.129062478,TW,6.498,6.458
,3.030639,-16.589769,7.6336,11.8,12.386,,,5.131438,5.21439,-2.179524,Eri,0.000967386,,,
,13.499938,10.377162,7.6558,9.05,9.63,1.493,3804.065747,-6.957507,-2.881767,1.37904,Vir,0.012246162,,,
Vega,18.61564,38.783692,7.6787,0.03,0.604,-0.001,10137.72807,0.960565,-5.908009,4.809731,Lyr,49.93441887,,,
,17.429231,2.111422,7.7006,7.54,8.107,1.359,4018.698822,-1.145591,-7.609413,0.283705,Oph,0.049796635,,,
Fomalhaut,22.960838,-29.622236,7.7036,1.17,1.737,0.145,8614.65404,6.450517,-1.799476,-3.807757,PsA,17.58733354,,,
,6.965577,62.325443,7.7519,13.65,14.203,,,-0.900784,3.485855,6.865082,,0.000181468,,,
,6.991184,19.349633,7.758,14.83,15.381,1.93,3243.699497,-1.878261,7.074699,2.570473,,6.13E-05,,,
,18.085438,-3.031319,7.7586,9.37,9.921,1.508,3781.513136,0.173292,-7.746096,-0.410305,Ser,0.009366989,,,
,12.679573,-43.566376,7.7809,12.24,12.785,1.75,3452.508366,-5.548597,-0.997637,-5.362282,,0.000669885,,12.373,12.103
,0.036059,-43.165974,7.8003,13.05,13.589,0.07,9328.334231,5.689088,0.054021,-5.336296,,0.000319448,,,
,1.663169,-56.1964,7.8223,5.76,6.293,0.88,5050.644696,3.945945,1.835674,-6.500103,Eri,0.264728074,,,
,10.204908,-3.745662,7.8691,9.26,9.78,1.487,3813.165305,-7.001078,3.555904,-0.514073,Sex,0.010665961,AN,9.292,9.232
,13.529586,29.27375,7.9365,11.95,12.452,1.57,3691.168543,-6.375287,-2.698711,3.880812,CVn,0.000910332,,,
,5.940372,5.364556,7.9936,14.1,14.586,0.6,5967.54345,0.124237,7.957618,0.747341,,0.000127526,,,
,20.5088,65.44956,7.9955,10.54,11.026,1.542,3731.408156,2.028515,-2.630896,7.272756,Cep,0.003385322,,10.602,10.502
,6.963016,-44.2912,8.0096,10.81,11.292,1.636,3599.787321,-1.430089,5.55205,-5.593146,Pup,0.00264972,,10.887,10.727
,21.521904,-9.790445,8.0115,14.9,15.381,,,6.290861,-4.770042,-1.362317,,6.13E-05,,,
,6.963287,-44.290792,8.0244,11.7,12.178,,,-1.432637,5.562374,-5.60344,Pup,0.001171656,,,
,22.898146,-6.782264,8.0515,15.65,16.121,1.9,3276.674296,7.664822,-2.274437,-0.950855,,3.10E-05,,,
,16.402496,48.352905,8.0567,10.27,10.739,1.475,3831.500926,-2.174286,-4.892451,6.0202,Her,0.004409608,,10.317,10.207
,18.350736,72.732843,8.0574,3.55,4.019,0.489,6439.201919,0.219434,-2.381656,7.694536,Dra,2.14980961,,,
,18.576709,40.121916,8.0645,11.42,11.887,1.42,3917.94294,0.927552,-6.096565,5.196894,Lyr,0.001531793,,,
,4.830669,6.961276,8.0684,3.19,3.656,0.484,6462.355791,2.413721,7.63677,0.977904,Ori,3.003308879,,,
,17.631477,18.591709,8.086,9.62,10.081,1.53,3748.934037,-0.738247,-7.628308,2.577969,Her,0.00808351,,,
,4.350211,-48.657863,8.1301,14.36,14.81,0.52,6299.551259,2.248063,4.877201,-6.103905,,0.000103753,,,
,23.718212,36.537175,8.1301,12.57,13.02,1.6,3649.041928,6.514311,-0.48109,4.840026,,0.000539511,,,
,9.280493,-77.838716,8.1301,13.1,13.55,1.64,3594.399505,-1.297343,1.118177,-7.947648,,0.000331131,,,
,13.009381,5.685534,8.1433,13.4,13.846,1.75,3452.508366,-7.819993,-2.115948,0.806542,,0.000252116,,,
p Eridani,1.663003,-56.19462,8.1466,5.8,6.245,0.86,5106.136867,4.110128,1.912046,-6.7701,Eri,0.276694165,,,
,19.128333,32.543654,8.1566,11.86,12.302,1.7,3515.540832,2.001475,-6.576,4.386486,Lyr,0.001045201,,,
,19.128333,32.543654,8.1566,12.16,12.602,,,2.002064,-6.577939,4.387778,,0.000792866,,,
,13.609009,3.679643,8.1833,14.65,15.085,0.95,4866.084384,-7.45256,-3.339161,0.525186,,8.05E-05,,,
,1.172926,-67.444956,8.194,9.8,10.233,1.568,3694.012908,2.996021,0.950129,-7.567468,Tuc,0.007027486,,,
,11.850375,48.376728,8.2102,13.25,13.678,1.84,3344.743474,-5.448084,0.214547,6.136058,,0.000294307,,,
,23.00449,-22.524347,8.2176,7.88,8.306,1.379,3985.073682,7.334508,-1.956062,-3.148018,Aqr,0.041457203,,,
,1.04167,71.679816,8.2366,9.98,10.401,1.501,3792.003001,2.493198,0.697723,7.819133,Cas,0.006020049,,,
,18.375079,62.048056,8.244,13.41,13.829,1.76,3440.181224,0.377857,-3.845699,7.282264,,0.000256094,,,
,21.521833,-9.790663,8.2974,11.96,12.365,1.703,3511.691783,6.514846,-4.940104,-1.410878,Cap,0.000986279,BB,12.053,11.823
,17.774319,27.720676,8.3105,3.42,3.822,0.75,5436.136574,-0.434406,-7.3437,3.865655,Her,2.57750787,,,
,6.411499,23.434998,8.3333,13.06,13.456,1.76,3440.181224,-0.822196,7.601565,3.314223,,0.000361077,,,
,16.334341,-37.529011,8.3438,10.56,10.953,1.55,3719.818456,-2.794995,-5.99789,-5.082844,Sco,0.003620762,,10.674,10.524
,12.799065,9.751397,8.3703,11.39,11.776,1.563,3701.143765,-8.06968,-1.713193,1.417736,Vir,0.00169668,,11.461,11.301
,17.773741,27.715759,8.3998,10.35,10.729,1.49,3808.609875,-0.440255,-7.42238,3.906295,Her,0.00445041,,,
,17.773741,27.715759,8.3998,10.8,11.179,,,-0.440292,-7.423009,3.906626,Her,0.002940357,,,
,11.721626,-51.839852,8.4034,10.36,10.738,1.53,3748.934037,-5.17841,0.377538,-6.607502,Cen,0.004413671,,,
